titleId,ordering,title,region,language,types,attributes,isOriginalTitle,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0040498,6,Julia Misbehaves,\N,\N,original,\N,1,tt0040498,movie,Julia Misbehaves,Julia Misbehaves,0.0,1948,\N,99,"Comedy,Romance",6.9,814.0
tt0040512,10,Kiss the Blood Off My Hands,\N,\N,original,\N,1,tt0040512,movie,Kiss the Blood Off My Hands,Kiss the Blood Off My Hands,0.0,1948,\N,79,"Crime,Drama,Film-Noir",6.8,882.0
tt0040733,5,The Return of the Whistler,\N,\N,original,\N,1,tt0040733,movie,The Return of the Whistler,The Return of the Whistler,0.0,1948,\N,60,"Film-Noir,Mystery",6.4,315.0
tt0040829,1,The Amazing Mr. X,\N,\N,original,\N,1,tt0040829,movie,The Amazing Mr. X,The Amazing Mr. X,0.0,1948,\N,78,"Film-Noir,Horror,Thriller",6.4,1311.0
tt0041179,1,The Big Wheel,\N,\N,original,\N,1,tt0041179,movie,The Big Wheel,The Big Wheel,0.0,1949,\N,92,"Action,Drama,Romance",5.7,415.0
tt0041547,10,King of the Rocket Men,\N,\N,original,\N,1,tt0041547,movie,King of the Rocket Men,King of the Rocket Men,0.0,1949,\N,167,"Action,Adventure,Crime",6.8,814.0
tt0041600,1,Lost Boundaries,\N,\N,original,\N,1,tt0041600,movie,Lost Boundaries,Lost Boundaries,0.0,1949,\N,99,Drama,7.1,352.0
tt0041975,2,Totò le mokò,\N,\N,original,\N,1,tt0041975,movie,Totò le mokò,Totò le mokò,0.0,1949,\N,81,Comedy,6.9,356.0
tt0041996,22,Twelve O'Clock High,\N,\N,original,\N,1,tt0041996,movie,Twelve O'Clock High,Twelve O'Clock High,0.0,1949,\N,132,"Drama,War",7.7,11604.0
tt0042007,5,Undertow,\N,\N,original,\N,1,tt0042007,movie,Undertow,Undertow,0.0,1949,\N,71,"Crime,Drama,Film-Noir",6.7,355.0
